SMILES,TPSA,ALOGP,XLOGP,MannholdLogP,n_acid,n_base,n_acid+n_base,TPSA_CDK,MolLogP,NumHDonors,NumHAcceptors,NumHDonors+NumHAcceptors
CCCC(=O)C1=CC2=C(SC3=C(C=CC=C3)N2CCCN2CC[NH+](C)CC2)C=C1,53.290000000000006,-0.5847000000000027,2.5500000000000003,3.55,0,4,4,27.990000000000006,3.4925000000000024,1,4,5
CCCCOC(=O)C1=CC=C(N)C=C1,52.32,-0.5931000000000007,1.5280000000000005,2.34,0,0,0,52.32,2.2257,1,3,4
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,56.220000000000006,-0.9595000000000007,-0.4950000000000001,1.6799999999999997,0,0,0,61.82,-1.0293,0,6,6
NC(=O)N1C2=C(C=CC=C2)C=CC2=C1C=CC=C2,46.330000000000005,1.362100000000001,0.7919999999999999,2.78,0,0,0,46.330000000000005,3.3872000000000018,1,1,2
NC(=O)N1C2=C(C=CC=C2)C2OC2C2=C1C=CC=C2,58.86000000000001,0.6394000000000004,0.06800000000000009,2.67,0,0,0,58.86000000000001,3.0294000000000016,1,2,3
ClCCNC(=O)N(CCCl)N=O,61.77,1.3048,0.8859999999999999,1.2399999999999998,0,0,0,61.77,1.157,1,3,4
CC(C)(C)[NH2+]CC(O)COC1=C2CCC(=O)NC2=CC=C1,75.17,-1.2753000000000019,0.62,2.67,0,2,2,75.17,0.6729000000000009,3,3,6
COC1(NC(=O)C2SC(S2)=C(C(N)=O)C([O-])=O)C2SCC(CSC3=NN=NN3C)=C(N2C1=O)C([O-])=O,323.51000000000005,-0.6696000000000013,-3.6330000000000005,1.2400000000000002,4,0,4,225.58999999999997,-4.066899999999997,2,16,18
[O-]C(=O)COCC[NH+]1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,57.04,0.09930000000000061,0.2510000000000001,3.11,1,4,5,57.04,0.39640000000000297,1,4,5
[O-]C(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,43.37,1.2008000000000005,2.73,2.45,1,0,1,43.37,2.0431999999999997,0,3,3
C[NH+](C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2,32.980000000000004,0.4879999999999989,2.867000000000001,2.89,0,3,3,7.680000000000001,3.4773000000000023,1,2,3
CNC(NCCSCC1=C(C)NC=[NH+]1)=NC#N,111.50999999999999,-1.7175,1.1840000000000002,1.79,0,4,4,90.13999999999999,0.01650000000000118,3,3,6
CN1C2=C(C=C(Cl)C=C2)N(C2=CC=CC=C2)C(=O)[CH-]C1=O,40.620000000000005,0.6677999999999992,1.1970000000000007,2.67,1,0,1,40.620000000000005,3.1853900000000017,0,2,2
ClC1=CC=CC(Cl)=C1NC1=[NH+]CCN1,38.03,-0.5553000000000001,1.5919999999999999,1.9000000000000001,0,4,4,38.03,0.4450999999999998,3,2,5
COC(=O)C1C2CCC(CC1OC(=O)C1=CC=CC=C1)[NH+]2C,57.04,-1.3736000000000002,1.4929999999999999,2.7800000000000002,0,3,3,57.04,0.45059999999999995,1,4,5
CC(C)(O)CN1N=C(C=CC1=O)C1=C2C=CC=CN2N=C1C1=CC=CC=C1,68.5,1.0148000000000017,2.3329999999999997,3.11,0,0,0,72.42,2.9959000000000016,1,6,7
CN(C)C(=O)CN1N=C(C=CC1=O)C1=C2C=CC=CN2N=C1C1=CC=CC=C1,68.58000000000001,0.23740000000000078,1.479,3.0,0,0,0,72.5,2.3131999999999993,0,6,6
O=C1C=CC(=NN1CC[NH+]1CCCCC1)C1=C2C=CC=CN2N=C1C1=CC=CC=C1,52.71,-1.3920999999999994,2.723,3.4399999999999995,0,3,3,56.629999999999995,2.2938,1,5,6
C[NH+]1CCC(CC1)N1N=C(C=CC1=O)C1=C2C=CC=CN2N=C1C1=CC=CC=C1,52.71,-1.075399999999998,2.4019999999999997,3.3299999999999996,0,3,3,56.629999999999995,2.0746,1,5,6
CC(=O)CN1N=C(C=CC1=O)C1=C2C=CC=CN2N=C1C1=CC=CC=C1,65.34,0.41370000000000057,1.8119999999999998,3.0,0,0,0,69.26,2.814000000000001,0,6,6
NC1=NC(C[NH+]2CCC(CC2)NC(=O)C(O)(C2CCC(F)(F)C2)C2=CC=CC=C2)=CC=C1,92.14999999999999,-1.8935000000000026,1.4140000000000001,3.2199999999999998,0,3,3,92.67999999999999,1.6505000000000016,4,4,8
CN1C(CCC1=O)C1=CC=CN=C1,32.67,-1.206400000000001,-0.4650000000000001,2.23,0,0,0,33.2,1.3749,0,2,2
CCC1NC(=O)C(C(O)C(C)\C=C\C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,278.8,-2.9282000000000177,8.614,5.750000000000002,0,0,0,278.8,3.269000000000003,5,12,17
O=C1C=CC=C2C3C[NH2+]CC(C3)CN12,36.92,-2.2116000000000007,-0.13900000000000007,2.34,0,2,2,38.61,-0.47119999999999984,1,2,3
OC1=CC=C(C=C1)C1=COC2=CC([O-])=CC=C2C1=O,69.59,-0.5018999999999992,1.1240000000000006,2.67,1,0,1,73.5,2.2391999999999994,1,4,5
NC(=O)C(C1CC[NH+](CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1,56.760000000000005,0.3418999999999992,3.0149999999999997,4.1,0,3,3,56.760000000000005,2.5404000000000018,2,2,4
C[NH2+]CCCN1C2=CC=CC=C2CCC2=CC=CC=C12,19.85,0.05359999999999787,2.4730000000000003,3.2199999999999998,0,2,2,19.85,2.5066000000000006,1,1,2
[NH3+]CCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,30.880000000000003,-0.04870000000000174,2.5050000000000003,3.11,0,1,1,30.880000000000003,2.555300000000001,1,1,2
ClC1=CC=C2NC(=O)[CH-]C(=O)N(C3=CC=CC=C3)C2=C1,49.410000000000004,0.5654999999999996,1.0550000000000002,2.5599999999999996,1,0,1,49.410000000000004,3.1610900000000006,1,2,3
