Smile-1,Smile-2,Average log BB (in vivo values),TPSA,logP(o/w),a_acid+a_base
O1CCc2cc(ccc12)CC[N@@H+]1C[C@H](CC1)C(C(=O)N)(c1ccccc1)c1ccccc1,NC(=O)C(C1CC[NH+](CCC2=CC3=C(OCC3)C=C2)C1)(C4=CC=CC=C4)C5=CC=CC=C5,-0.62,56.76,5.104,1
[NH2+](CCCN1c2c(CCc3c1cccc3)cccc2)C,C[NH2+]CCCN1C2=CC=CC=C2CCC3=CC=CC=C13,1.033,19.85,3.836,1
[NH3+]CCCN1c2c(CCc3c1cccc3)cccc2,[NH3+]CCCN1C2=C(CCC3=CC=CC=C13)C=CC=C2,1.01,30.88,3.311,1
Clc1cc2N(C(=O)CC(=O)Nc2cc1)c1ccccc1,ClC1=CC=C2NC(=O)CC(=O)N(C3=CC=CC=C3)C2=C1,0.24,49.41,2.45,0
S1c2c(N(c3c1cccc3)CCC[NH2+]C)cccc2,C[NH2+]CCCN1C2=C(SC3=CC=CC=C13)C=CC=C2,0.59,19.85,3.727,1
Clc1cc2c(N(C)C(=O)CN=C2c2ccccc2)cc1,CN1C(=O)CN=C(C2=CC=CC=C2)C3=CC(=CC=C13)Cl,0.346,32.67,3.109,0
O1CC(=CC1=O)[C@H]1CC[C@@]2(O)[C@H]3[C@H](C[C@H](O)[C@@]12C)[C@]1([C@@H](C[C@H](O[C@@H]2O[C@@H](C)[C@@H](O[C@H]4O[C@H](C)[C@@H](O[C@H]5O[C@H](C)[C@@H](O)[C@H](O)C5)[C@H](O)C4)[C@H](O)C2)CC1)CC3)C,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC3C(O)CC(OC3C)OC4CCC5(C)C(CCC6C5CC(O)C7(C)C(CCC67O)C8=CC(=O)OC8)C4,-1.23,203.06,3.324,0
O(C(c1ccccc1)c1ccccc1)CC[NH+](C)C,C[NH+](C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,1.26,13.67,3.782,1
O=C1C=C(Nc2cc([N+](=O)[O-])ccc2)C[C@@H](C)[C@H]1C(OC)=O,COC(=O)C1C(C)CC(=CC1=O)NC2=CC(=CC=C2)[N+]([O-])=O,-1,101.22,2.172,0
FC(F)(F)Oc1cc(NC2=CC(=O)[C@H](C(OC)=O)[C@@H](C2)C)ccc1,COC(=O)C1C(C)CC(=CC1=O)NC2=CC(=CC=C2)OC(F)(F)F,-0.17,64.63,3.636,0
Clc1ccc(NC2=CC(=O)[C@H](C(OC)=O)[C@@H](C2)C)cc1,COC(=O)C1C(C)CC(=CC1=O)NC2=CC=C(Cl)C=C2,-0.95,55.4,2.792,0
Clc1cc2NC(=O)N(c2cc1)C1CC[NH+](CC1)CCCN1c2c(NC1=O)cccc2,ClC1=CC2=C(C=C1)N(C3CC[NH+](CCCN4C(=O)NC5=C4C=CC=C5)CC3)C(=O)N2,-0.878,69.12,2.755,1
O(C)c1cc2c(cc1OC)C[C@@H](CC1CC[NH+](CC1)Cc1ccccc1)C2=O,COC1=C(OC)C=C2C(=O)C(CC3CC[NH+](CC3)CC4=CC=CC=C4)CC2=C1,0.89,39.97,4.146,1
O1[C@@H](C)[C@@H](O)[C@@H]([NH3+])C[C@@H]1O[C@@H]1c2c(C[C@](O)(C1)C(=O)CO)c(O)c1c(C(=O)c3c(cccc3OC)C1=O)c2O,COC1=CC=CC2=C1C(=O)C3=C(C(=C4CC(O)(CC(OC5CC([NH3+])C(O)C(C)O5)C4=C3O)C(=O)CO)O)C2=O,-0.83,207.69,0.507,1
O([C@@](C)(c1ccccc1)c1ncccc1)CC[NH+](C)C,C[NH+](C)CCOC(C)(C1=CC=CC=C1)C2=NC=CC=C2,0.64,26.56,2.918,1
O(CC)c1ccccc1C(=O)N,CCOC1=C(C=CC=C1)C(N)=O,-0.046,52.32,1.144,0
O(C(=O)c1ccc(N)cc1)CC,CCOC(=O)C1=CC=C(N)C=C1,0.27,52.32,1.516,0
O1C[C@H]2[C@@H]([C@@H](c3c(cc4OCOc4c3)[C@H]2O[C@@H]2O[C@H]3[C@@H](O[C@@H](OC3)C)[C@H](O)[C@H]2O)c2cc(OC)c(O)c(OC)c2)C1=O,COC1=CC(=CC(=C1O)OC)C2C3C(COC3=O)C(OC4OC5COC(C)OC5C(O)C4O)C6=C2C=C7OCOC7=C6,-2,160.83,1.616,0
O=C(N(C1CC[NH+](CC1)CCc1ccccc1)c1ccccc1)CC,CCC(=O)N(C1CC[NH+](CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,0.579,24.75,4.275,1
OC(C1CC[NH+](CC1)CCC[C@@H](O)c1ccc(cc1)C(C(=O)[O-])(C)C)(c1ccccc1)c1ccccc1,CC(C)(C([O-])=O)C1=CC=C(C=C1)C(O)CCC[NH+]2CCC(CC2)C(O)(C3=CC=CC=C3)C4=CC=CC=C4,-0.98,85.03,7.416,3
Fc1cc2c(-n3c(CN(C)C2=O)c(nc3)C(O[C@H](F)C)=O)cc1,CC(F)OC(=O)C1=C2CN(C)C(=O)C3=CC(=CC=C3[N]2C=N1)F,-0.093,64.43,1.705,0
Fc1ccc(cc1)C(=O)NCC[NH+]1CCN(CC1)c1c2OC[C@@H](Oc2ccc1)CO,OCC1COC2=C(C=CC=C2O1)N3CC[NH+](CCNC(=O)C4=CC=C(F)C=C4)CC3,-0.447,75.47,1.397,1
Fc1cc2c(-n3c(CN(C)C2=O)c(nc3)C(OCC)=O)cc1,CCOC(=O)C1=C2CN(C)C(=O)C3=CC(=CC=C3[N]2C=N1)F,-0.29,64.43,1.392,0
Fc1ccccc1C1=NCC(=O)N(c2c1cc([N+](=O)[O-])cc2)C,CN1C(=O)CN=C(C2=C(F)C=CC=C2)C3=C1C=CC(=C3)[N+]([O-])=O,0.06,78.49,2.603,0
Fc1cc2c(-n3c(CN(CCF)C2=O)c(nc3)C(OCC)=O)cc1,CCOC(=O)C1=C2CN(CCF)C(=O)C3=CC(=CC=C3[N]2C=N1)F,-0.14,64.43,1.507,0
FC(F)(F)c1ccc(O[C@@H](CC[NH2+]C)c2ccccc2)cc1,C[NH2+]CCC(OC1=CC=C(C=C1)C(F)(F)F)C2=CC=CC=C2,0.72,25.84,4.757,1
FC(F)(F)c1ccc(cc1)/C(=N\OCC[NH3+])/CCCCOC,COCCCC\C(=N\OCC[NH3+])C1=CC=C(C=C1)C(F)(F)F,0.79,58.46,3.231,1
O1[C@H]2[C@]3(CC[N@H+](Cc4c3c1c(OC)cc4)C)C=C[C@H](O)C2,COC1=CC=C2C[NH+](C)CCC34C=CC(O)CC3OC1=C24,0.32,43.13,2.491,1
Oc1ccc(O)cc1C(=O)[O-],OC1=CC=C(O)C(=C1)C([O-])=O,0.08,80.59,1.123,2
O=C1[C@@H]2[C@@](CC[C@@H]3[C@]2(CC[C@@H](O)C3(C)C)C)(C)[C@]2(CC[C@@]3([C@@H](C2=C1)C[C@](CC3)(C(=O)[O-])C)C)C,CC1(C)C(O)CCC2(C)C1CCC3(C)C2C(=O)C=C4C5CC(C)(CCC5(C)CCC34C)C([O-])=O,-1.399,77.43,5.714,2
Clc1ccc(cc1)C1(O)CC[NH+](CC1)CCCC(=O)c1ccc(F)cc1,OC1(CC[NH+](CCCC(=O)C2=CC=C(F)C=C2)CC1)C3=CC=C(Cl)C=C3,1.34,41.74,4.598,1
O=C(N)C[C@](O)(CC)c1ccccc1,CCC(O)(CC(N)=O)C1=CC=CC=C1,0.04,63.32,1.385,0
O=C1N(C)C(=O)NC(=O)[C@]1(C)C=1CCCCC=1,CN1C(=O)NC(=O)C(C)(C1=O)C2=CCCCC2,-0.022,66.48,0.955,0
Clc1ccc(cc1)[C@H]([NH+]1CC[NH+](CC1)CCOCCO)c1ccccc1,OCCOCC[NH+]1CC[NH+](CC1)C(C2=CC=CC=C2)C3=CC=C(Cl)C=C3,0.285,38.34,3.205,2
Ic1scc(c1)C(=O)CCC[NH+]1CCC2(N(CN(C)C2=O)c2ccccc2)CC1,CN1CN(C2=CC=CC=C2)C3(CC[NH+](CCCC(=O)C4=CSC(=C4)I)CC3)C1=O,-0.252,45.06,4.461,1
I\C=C\C[NH+]1CCC(CC1)COc1ccc(cc1)C#N,I\C=C\C[NH+]1CCC(CC1)COC2=CC=C(C=C2)C#N,1.132,37.46,3.594,1
O=C([O-])[C@H](C)c1ccc(cc1)CC(C)C,CC(C)CC1=CC=C(C=C1)C(C)C([O-])=O,-0.18,40.13,3.735,2
O(C)c1cccnc1CCCCNC=1NC(=O)C(=CN=1)Cc1ccc(nc1)C,COC1=CC=CN=C1CCCCNC2=NC=C(CC3=CC=C(C)N=C3)C(=O)N2,-2,88.5,1.557,0
[NH+](CCCN1c2c(CCc3c1cccc3)cccc2)(C)C,C[NH+](C)CCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2,1.033,7.68,4.104,1
O[C@@H]1Cc2c(cccc2)[C@@H]1NC(=O)[C@H](Cc1ccccc1)C[C@H](O)C[N@@H+]1CC[N@H+](C[C@H]1C(=O)NC(C)(C)C)Cc1cccnc1,CC(C)(C)NC(=O)C1C[NH+](CC[NH+]1CC(O)CC(CC2=CC=CC=C2)C(=O)NC3C(O)CC4=C3C=CC=C4)CC5=CC=CN=C5,-0.741,120.43,2.764,2
